symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AAPL,2015-07-28 00:00:00+00:00,113.6975572588,114.1859646615,112.9326928357,113.6975572588,33618097,123.38,0.0,123.91,122.55,123.38,1.0,33618097
AAPL,2015-07-29 00:00:00+00:00,113.3381631323,113.8081400669,112.6746662833,113.4856068765,37011653,122.99,0.0,123.5,122.27,123.15,1.0,37011653
AAPL,2015-07-30 00:00:00+00:00,112.7668186234,112.9510311513,112.1586131785,112.7207424534,33628268,122.37,0.0,122.5699,121.71,122.32,1.0,33628268
AAPL,2015-07-31 00:00:00+00:00,111.780788584,113.0179337503,111.4213944574,112.9787690057,42884953,121.3,0.0,122.6425,120.91,122.6,1.0,42884953
AAPL,2015-08-03 00:00:00+00:00,109.1452316561,112.9511233037,108.2974301269,111.9650932642,69975968,118.44,0.0,122.57,117.52,121.5,1.0,69975968
AAPL,2015-08-04 00:00:00+00:00,105.643442731,108.4633043391,104.3625252031,108.2052777867,124138623,114.64,0.0,117.7,113.25,117.42,1.0,124138623
AAPL,2015-08-05 00:00:00+00:00,106.343800516,108.2237082548,103.3027732915,104.0860681827,98384461,115.4,0.0,117.44,112.1,112.95,1.0,98384461
AAPL,2015-08-06 00:00:00+00:00,106.5741813663,107.8423706174,105.6346104979,107.3517572575,52903040,115.13,0.52,116.5,114.115,115.97,1.0,52903040
AAPL,2015-08-07 00:00:00+00:00,106.9351987444,107.6109492212,105.990999448,106.0650542948,38670405,115.52,0.0,116.25,114.5,114.58,1.0,38670405
AAPL,2015-08-10 00:00:00+00:00,110.8230782001,111.073013308,107.8701411849,107.8701411849,54951597,119.72,0.0,119.99,116.53,116.53,1.0,54951597
AAPL,2015-08-11 00:00:00+00:00,105.0560570074,109.3975223997,104.9079473139,109.0550187333,97082814,113.49,0.0,118.18,113.33,117.81,1.0,97082814
AAPL,2015-08-12 00:00:00+00:00,106.6760067807,106.8426301859,101.4829106505,104.1673988461,101685610,115.24,0.0,115.42,109.63,112.53,1.0,101685610
AAPL,2015-08-13 00:00:00+00:00,106.592695078,107.7498020589,106.0280268714,107.4165552484,48535789,115.15,0.0,116.4,114.54,116.04,1.0,48535789
AAPL,2015-08-14 00:00:00+00:00,107.3425004016,107.6664903563,105.5374135115,105.8243760427,42929516,115.96,0.0,116.31,114.01,114.32,1.0,42929516
AAPL,2015-08-17 00:00:00+00:00,108.4533231033,108.9069090398,106.9166850327,107.4165552484,40884745,117.16,0.0,117.65,115.5,116.04,1.0,40884745
AAPL,2015-08-18 00:00:00+00:00,107.8423706174,108.712515067,107.3887846809,107.7775726264,34560708,116.5,0.0,117.44,116.01,116.43,1.0,34560708
AAPL,2015-08-19 00:00:00+00:00,106.4630990962,107.8608843291,106.1576228532,107.4720963835,48286510,115.01,0.0,116.52,114.68,116.1,1.0,48286510
AAPL,2015-08-20 00:00:00+00:00,104.2784811163,105.8521466103,103.3342818199,105.6022115024,68501622,112.65,0.0,114.35,111.63,114.08,1.0,68501622
AAPL,2015-08-21 00:00:00+00:00,97.9005074377,103.5842169278,97.7940535955,102.2234591183,128275471,105.76,0.0,111.9,105.645,110.43,1.0,128275471
AAPL,2015-08-24 00:00:00+00:00,95.4566974941,100.7145916152,85.1630737923,87.8197914203,162206292,103.12,0.0,108.8,92.0,94.87,1.0,162206292
AAPL,2015-08-25 00:00:00+00:00,96.0306225566,102.8529253158,95.8084580163,102.8529253158,103601599,103.74,0.0,111.11,103.5,111.11,1.0,103601599
AAPL,2015-08-26 00:00:00+00:00,101.5384517856,101.7235889025,97.2432706726,99.1270408374,96774611,109.69,0.0,109.89,105.05,107.085,1.0,96774611
AAPL,2015-08-27 00:00:00+00:00,104.5284162242,104.8246356113,101.8439280285,103.9082068824,84616056,112.92,0.0,113.24,110.02,112.25,1.0,84616056
AAPL,2015-08-28 00:00:00+00:00,104.8709198905,104.8894336022,103.2509701173,103.8341520356,53164407,113.29,0.0,113.31,111.54,112.17,1.0,53164407
AAPL,2015-08-31 00:00:00+00:00,104.3803065306,106.0187700155,103.6767854862,103.7971246122,56229271,112.76,0.0,114.53,112.0,112.13,1.0,56229271
AAPL,2015-09-01 00:00:00+00:00,99.7148511837,103.5657032161,99.3816043732,101.9920377221,76845860,107.72,0.0,111.88,107.36,110.18,1.0,76845860
AAPL,2015-09-02 00:00:00+00:00,103.991518585,103.991518585,101.0209935437,101.8254143168,61888812,112.34,0.0,112.34,109.131,110.0,1.0,61888812
AAPL,2015-09-03 00:00:00+00:00,102.1679179832,104.3988202423,101.8624417402,104.1303714227,53233940,110.37,0.0,112.78,110.04,112.49,1.0,53233940
AAPL,2015-09-04 00:00:00+00:00,101.14966384,102.2419728299,100.4461427956,100.8719581646,49996311,109.27,0.0,110.45,108.51,108.97,1.0,49996311
AAPL,2015-09-08 00:00:00+00:00,103.9637480175,104.1951694137,102.1216337039,103.3527955316,54843626,112.31,0.0,112.56,110.32,111.65,1.0,54843626
